Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
DET,2015,7,MIN,0.044,-0.01,0.202,-0.256,0,0.405,-0.38,0.054
HOU,2015,7,MIA,-0.979,-0.508,-0.609,-0.318,0.49,1.089,0.106,0.019
IND,2015,7,NO,-0.466,-0.492,-0.669,0.155,-0.15,-0.497,0.227,-0.124
JAC,2015,7,BUF,0.167,-0.099,0.412,-0.345,-0.322,-0.469,-0.134,-0.056
KC,2015,7,PIT,0.556,0.314,0.395,0.307,-0.2,-0.45,0.066,0.042
MIA,2015,7,HOU,0.86,0.711,1.531,0.201,-0.227,-0.25,-0.183,-0.078
MIN,2015,7,DET,-0.015,-0.061,0.228,-0.34,-0.048,0.043,-0.182,-0.002
NE,2015,7,NYJ,0.155,0.163,0.253,-0.3,0.103,0.348,-0.229,0.096
NO,2015,7,IND,0.152,0.093,-0.143,0.336,0.004,-0.069,0.229,0.063
NYG,2015,7,DAL,0.24,0.137,0.073,0.211,0.131,-0.104,0.272,0.233
NYJ,2015,7,NE,0.308,0.174,0.6,-0.163,-0.148,-0.072,-0.547,-0.014
OAK,2015,7,SD,0.447,0.374,0.694,0.103,-0.027,-0.117,0.153,0.046
PHI,2015,7,CAR,-0.005,-0.036,-0.042,0.114,-0.049,-0.455,0.212,-0.018
PIT,2015,7,KC,-0.084,0.036,-0.101,0.251,0.108,0.208,0.003,-0.012
SD,2015,7,OAK,-0.619,-0.058,-0.132,0.088,0.461,0.637,0.267,-0.099
SEA,2015,7,SF,0.438,0.044,-0.008,0.075,-0.418,-0.408,-0.436,-0.024
SF,2015,7,SEA,-0.263,-0.406,-0.384,-0.328,-0.071,-0.043,-0.088,0.073
TB,2015,7,WAS,0.156,0.365,0.925,0.089,0.229,0.332,-0.003,0.021
TEN,2015,7,ATL,-0.278,-0.375,-0.592,0.06,-0.065,-0.175,0.064,0.032
WAS,2015,7,TB,-0.116,0.216,0.484,0.015,0.37,0.785,0.046,0.038
ARI,2015,8,CLE,0.131,0.023,0.674,-0.428,-0.067,0.108,-0.445,0.042
ATL,2015,8,TB,-0.151,-0.099,0.051,-0.156,0.07,0.388,-0.21,0.017
BAL,2015,8,SD,-0.176,-0.018,0.222,-0.193,0.328,0.583,-0.009,0.17
CAR,2015,8,IND,0.121,-0.101,0.228,-0.306,-0.232,-0.228,-0.238,-0.01
CHI,2015,8,MIN,-0.011,0.246,0.379,0.091,0.033,-0.075,0.147,-0.223
CIN,2015,8,PIT,0.038,-0.275,-0.241,-0.037,-0.209,-0.253,-0.097,0.104
CLE,2015,8,ARI,-0.127,-0.116,0.307,-0.596,-0.014,0.398,-0.41,-0.024
DAL,2015,8,SEA,0.164,-0.097,-0.207,0.069,-0.244,-0.216,-0.269,0.017
DEN,2015,8,GB,1.049,0.526,1.089,0.219,-0.512,-1.007,-0.057,0.011
DET,2015,8,KC,-0.827,-0.435,-0.573,-0.019,0.283,0.112,0.476,-0.109
GB,2015,8,DEN,-0.785,-0.296,-0.646,0.079,0.501,0.953,0.186,0.012
HOU,2015,8,TEN,0.043,-0.256,-0.03,-0.562,-0.292,-0.424,-0.08,0.007
IND,2015,8,CAR,0.068,-0.188,-0.112,-0.278,-0.186,0.005,-0.357,0.069
KC,2015,8,DET,1.059,0.462,0.184,0.851,-0.427,-0.58,0.049,0.17
MIA,2015,8,NE,-0.733,-0.417,-0.339,-0.253,0.244,0.635,-0.179,-0.072
MIN,2015,8,CHI,0.058,-0.134,-0.238,0.143,0.071,0.12,0.012,0.263
NE,2015,8,MIA,0.432,0.138,0.769,-0.274,-0.177,-0.102,-0.377,0.117
NO,2015,8,NYG,-0.046,0.311,0.772,-0.097,0.281,0.611,-0.274,-0.077
NYG,2015,8,NO,-0.248,0.039,0.285,-0.392,0.409,0.776,-0.111,0.122
NYJ,2015,8,OAK,-0.33,0.13,0.433,-0.359,0.487,0.824,0.069,0.026
OAK,2015,8,NYJ,0.643,0.773,1.188,0.279,0.077,0.284,-0.331,-0.054
PIT,2015,8,CIN,0.288,0.044,0.049,0.155,-0.337,-0.371,-0.265,-0.093
SD,2015,8,BAL,0.067,0.253,0.592,-0.033,0.215,0.447,-0.086,0.028
SEA,2015,8,DAL,-0.058,-0.148,0.021,-0.22,-0.112,-0.209,-0.044,-0.021
SF,2015,8,LARM,-0.484,-0.374,-0.219,-0.639,0.135,0.291,0.054,0.025
TB,2015,8,ATL,-0.216,-0.011,0.322,-0.259,0.185,0.411,-0.148,-0.02
TEN,2015,8,HOU,-0.29,-0.353,-0.44,-0.124,-0.056,0.158,-0.426,0.007
ATL,2015,9,SF,-0.009,-0.153,0.055,-0.735,0.029,0.229,-0.109,0.173
BUF,2015,9,MIA,0.44,0.693,0.795,0.873,0.336,0.408,0.22,0.083
CAR,2015,9,GB,0.304,0.331,0.918,-0.073,-0.035,0.125,-0.464,-0.062
CHI,2015,9,SD,-0.091,0.108,0.262,0.014,0.08,0.074,0.09,-0.119
CIN,2015,9,CLE,0.234,0.26,0.71,-0.065,-0.023,0.122,-0.277,-0.049
CLE,2015,9,CIN,-0.295,-0.108,0.104,-0.224,0.139,0.424,-0.072,-0.047
DAL,2015,9,PHI,-0.089,0.026,0.212,-0.114,0.288,0.289,0.287,0.172
DEN,2015,9,IND,0.03,-0.012,0.159,-0.455,0.181,0.513,-0.14,0.224
GB,2015,9,CAR,-0.011,0.152,0.393,-0.354,0.084,0.513,-0.221,-0.079
IND,2015,9,DEN,0.146,0.283,0.82,-0.154,0.012,0.181,-0.433,-0.124
JAC,2015,9,NYJ,0.23,0.098,0.096,0.101,-0.135,0.381,-0.68,-0.003
MIA,2015,9,BUF,-0.456,0.249,0.32,0.245,0.632,0.779,0.573,-0.073
MIN,2015,9,LARM,0.127,0.044,0.017,0.146,-0.069,-0.086,-0.056,0.013
NE,2015,9,WAS,0.454,0.103,0.274,-0.037,-0.357,-0.326,-0.426,-0.006
NO,2015,9,TEN,-0.507,0.017,0.393,-0.381,0.424,1.048,-0.431,-0.1
NYG,2015,9,TB,-0.027,-0.166,-0.237,-0.083,-0.012,0.119,-0.194,0.128
NYJ,2015,9,JAC,-0.142,-0.31,0.343,-0.692,-0.019,0.011,-0.08,0.149
OAK,2015,9,PIT,0.026,0.159,0.327,-0.029,0.125,0.117,0.136,-0.007
PHI,2015,9,DAL,0.1,0.2,0.232,0.365,0.094,0.238,-0.068,-0.006
PIT,2015,9,OAK,0.241,0.315,0.387,0.354,0.032,0.141,-0.159,-0.042
SD,2015,9,CHI,-0.182,0.017,0.15,-0.13,0.149,0.236,0.024,-0.05
SF,2015,9,ATL,-0.193,-0.088,0.153,-0.19,-0.021,0.181,-0.602,-0.126
TB,2015,9,NYG,0.007,-0.02,0.066,-0.136,-0.166,-0.172,-0.16,-0.139
