Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,HomeLine,AwayLine,PredictTotal,ActualTotal
2018,6,DAL,JAX,40,7,33,3,-3,41,47
2018,6,TEN,BAL,0,21,-21,1.5,-1.5,42,21
2018,6,DEN,LARM,20,23,-3,7,-7,52.5,43
2018,6,OAK,SEA,3,27,-24,3,-3,47,30
2018,6,ATL,TB,34,29,5,-3.5,3.5,57.5,63
2018,6,CIN,PIT,21,28,-7,-2.5,2.5,54.5,49
2018,6,CLE,SD,14,38,-24,1.5,-1.5,46,52
2018,6,HOU,BUF,20,13,7,-9.5,9.5,41,33
2018,6,MIA,CHI,31,28,3,3,-3,44,59
2018,6,MIN,ARI,27,17,10,-10.5,10.5,43,44
2018,6,NYJ,IND,42,34,8,-3,3,45.5,76
2018,6,WAS,CAR,23,17,6,-1,1,45,40
2018,6,NYG,PHI,13,34,-21,2.5,-2.5,45,47
2018,5,NO,WAS,43,19,24,-6.5,6.5,51.5,62
2018,5,HOU,DAL,19,16,3,-3,3,45,35
2018,5,PHI,MIN,21,23,-2,-3,3,44.5,44
2018,5,SEA,LARM,31,33,-2,7,-7,49,64
2018,5,SF,ARI,18,28,-10,-5.5,5.5,41,46
2018,5,SD,OAK,26,10,16,-6.5,6.5,51.5,36
2018,5,BUF,TEN,13,12,1,3,-3,39.5,25
2018,5,CAR,NYG,33,31,2,-6,6,44,64
2018,5,CIN,MIA,27,17,10,-5.5,5.5,50,44
2018,5,CLE,BAL,12,9,3,3,-3,47,21
2018,5,DET,GB,31,23,8,1,-1,51,54
2018,5,KC,JAX,30,14,16,-3,3,48.5,44
2018,5,NYJ,DEN,34,16,18,-2.5,2.5,43,50
2018,5,PIT,ATL,41,17,24,-3,3,56.5,58
2018,5,NE,IND,38,24,14,-10,10,53,62
2018,4,DEN,KC,23,27,-4,4,-4,55,50
2018,4,PIT,BAL,14,26,-12,-3.5,3.5,51,40
2018,4,SD,SF,29,27,2,-9.5,9.5,47,56
2018,4,NYG,NO,18,33,-15,3.5,-3.5,50,51
2018,4,ARI,SEA,17,20,-3,3,-3,37.5,37
2018,4,OAK,CLE,45,42,3,-2.5,2.5,44.5,87
2018,4,ATL,CIN,36,37,-1,-5.5,5.5,48,73
2018,4,CHI,TB,48,10,38,-3,3,46.5,58
2018,4,DAL,DET,26,24,2,-3,3,44,50
2018,4,GB,BUF,22,0,22,-10.5,10.5,44.5,22
2018,4,IND,HOU,34,37,-3,-2.5,2.5,47,71
2018,4,JAX,NYJ,31,12,19,-8.5,8.5,38,43
2018,4,NE,MIA,38,7,31,-7,7,48,45
2018,4,TEN,PHI,26,23,3,3,-3,42,49
2018,4,LARM,MIN,38,31,7,-7,7,48,69
2018,3,TB,PIT,27,30,-3,2.5,-2.5,52,57
2018,3,DET,NE,26,10,16,6.5,-6.5,50,36
2018,3,ARI,CHI,14,16,-2,6,-6,37.5,30
2018,3,SEA,DAL,24,13,11,-1,1,41.5,37
2018,3,LARM,SD,35,23,12,-6.5,6.5,48,58
2018,3,ATL,NO,37,43,-6,-3,3,53,80
2018,3,BAL,DEN,27,14,13,-4.5,4.5,43.5,41
2018,3,CAR,CIN,31,21,10,-3,3,43.5,52
2018,3,HOU,NYG,22,27,-5,-6,6,41.5,49
2018,3,JAX,TEN,6,9,-3,-10,10,40,15
2018,3,KC,SF,38,27,11,-6,6,55,65
2018,3,MIA,OAK,28,20,8,-3,3,43.5,48
2018,3,MIN,BUF,6,27,-21,-16.5,16.5,40.5,33
2018,3,PHI,IND,20,16,4,-6.5,6.5,47.5,36
2018,3,WAS,GB,31,17,14,3,-3,47.5,48
2018,3,CLE,NYJ,21,17,4,-3,3,39.5,38
2018,2,CHI,SEA,24,17,7,-3.5,3.5,43.5,41
2018,2,DAL,NYG,20,13,7,-3,3,44,33
2018,2,DEN,OAK,20,19,1,-6,6,45,39
2018,2,JAX,NE,31,20,11,2.5,-2.5,45,51
2018,2,LARM,ARI,34,0,34,-13,13,46.5,34
2018,2,SF,DET,30,27,3,-5.5,5.5,47.5,57
2018,2,ATL,CAR,31,24,7,-4.5,4.5,44,55
2018,2,BUF,SD,20,31,-11,7.5,-7.5,44,51
2018,2,GB,MIN,29,29,0,-1.5,1.5,46.5,58
2018,2,NO,CLE,21,18,3,-8,8,49.5,39
2018,2,NYJ,MIA,12,20,-8,-3,3,44,32
2018,2,PIT,KC,37,42,-5,-4.5,4.5,49.5,79
2018,2,TB,PHI,27,21,6,3,-3,44,48
2018,2,TEN,HOU,20,17,3,2,-2,45,37
2018,2,WAS,IND,9,21,-12,-5.5,5.5,47.5,30
2018,2,CIN,BAL,34,23,11,1,-1,44,57
2018,1,OAK,LARM,13,33,-20,3,-3,49.5,46
2018,1,DET,NYJ,17,48,-31,-6.5,6.5,44,65
2018,1,GB,CHI,24,23,1,-8,8,47.5,47
2018,1,ARI,WAS,6,24,-18,-1,1,44,30
2018,1,CAR,DAL,16,8,8,-2.5,2.5,44,24
2018,1,DEN,SEA,27,24,3,-2.5,2.5,42,51
2018,1,SD,KC,28,38,-10,-3,3,47,66
2018,1,BAL,BUF,47,3,44,-6,6,41,50
2018,1,CLE,PIT,21,21,0,5.5,-5.5,46.5,42
2018,1,IND,CIN,23,34,-11,-3,3,46,57
2018,1,MIA,TEN,27,20,7,1.5,-1.5,45,47
2018,1,MIN,SF,24,16,8,-5.5,5.5,46,40
2018,1,NE,HOU,27,20,7,-6.5,6.5,51,47
2018,1,NO,TB,40,48,-8,-9.5,9.5,49.5,88
2018,1,NYG,JAX,15,20,-5,3,-3,43.5,35
2018,1,PHI,ATL,18,12,6,-4,4,46,30
2017,21,NE,PHI,33,41,-8,-6,6,47.5,74
2017,20,PHI,MIN,38,7,31,3.5,-3.5,37.5,45
2017,20,NE,JAX,24,20,4,-9.5,9.5,47,44
2017,19,MIN,NO,29,24,5,-3.5,3.5,44.5,53
2017,19,PIT,JAX,42,45,-3,-7.5,7.5,41,87
2017,19,NE,TEN,35,14,21,-13.5,13.5,47,49
2017,19,PHI,ATL,15,10,5,2.5,-2.5,43.5,25
2017,18,NO,CAR,31,26,5,-6,6,48.5,57
2017,18,JAX,BUF,10,3,7,-7.5,7.5,40,13
2017,18,LARM,ATL,13,26,-13,-6,6,50.5,39
2017,18,KC,TEN,21,22,-1,-7.5,7.5,45.5,43
2017,17,DEN,KC,24,27,-3,-3.5,3.5,39,51
2017,17,SD,OAK,30,10,20,-9,9,43.5,40
2017,17,LARM,SF,13,34,-21,-6.5,6.5,44,47
2017,17,SEA,ARI,24,26,-2,-7.5,7.5,40.5,50
2017,17,ATL,CAR,22,10,12,-3.5,3.5,47,32
2017,17,BAL,CIN,27,31,-4,-10,10,40.5,58
2017,17,DET,GB,35,11,24,-7.5,7.5,42.5,46
2017,17,IND,HOU,22,13,9,0,0,43,35
2017,17,MIA,BUF,16,22,-6,3,-3,42.5,38
2017,17,MIN,CHI,23,10,13,-12.5,12.5,39.5,33
2017,17,NE,NYJ,26,6,20,-16.5,16.5,46,32
2017,17,NYG,WAS,18,10,8,3.5,-3.5,38.5,28
2017,17,PHI,DAL,0,6,-6,0,0,43,6
2017,17,PIT,CLE,28,24,4,-16,16,41,52
2017,17,TB,NO,31,24,7,7.5,-7.5,50.5,55
2017,17,TEN,JAX,15,10,5,-6,6,41,25
2017,16,PHI,OAK,19,10,9,-9,9,48.5,29
2017,16,HOU,PIT,6,34,-28,10,-10,44,40
2017,16,ARI,NYG,23,0,23,-4.5,4.5,40,23
2017,16,DAL,SEA,12,21,-9,-4.5,4.5,47,33
2017,16,SF,JAX,44,33,11,4.5,-4.5,42.5,77
2017,16,CAR,TB,22,19,3,-10,10,46.5,41
2017,16,CHI,CLE,20,3,17,-7,7,38,23
2017,16,CIN,DET,26,17,9,4,-4,43,43
2017,16,KC,MIA,29,13,16,-10,10,45,42
2017,16,NE,BUF,37,16,21,-12.5,12.5,47,53
2017,16,NO,ATL,23,13,10,-5.5,5.5,52.5,36
2017,16,NYJ,SD,7,14,-7,7.5,-7.5,42.5,21
2017,16,TEN,LARM,23,27,-4,6.5,-6.5,49,50
2017,16,WAS,DEN,27,11,16,-4,4,41,38
2017,16,GB,MIN,0,16,-16,9,-9,40.5,16
2017,16,BAL,IND,23,16,7,-13.5,13.5,41.5,39
2017,15,TB,ATL,21,24,-3,6,-6,47.5,45
2017,15,OAK,DAL,17,20,-3,2.5,-2.5,46,37
2017,15,PIT,NE,24,27,-3,2,-2,53,51
2017,15,SF,TEN,25,23,2,-2,2,45,48
2017,15,SEA,LARM,7,42,-35,0,0,47.5,49
2017,15,BUF,MIA,24,16,8,-3.5,3.5,39,40
2017,15,CAR,GB,31,24,7,-3,3,45.5,55
2017,15,CLE,BAL,10,27,-17,7.5,-7.5,40,37
2017,15,JAX,HOU,45,7,38,-11,11,39.5,52
2017,15,MIN,CIN,34,7,27,-11.5,11.5,41,41
2017,15,NO,NYJ,31,19,12,-14.5,14.5,47,50
2017,15,NYG,PHI,29,34,-5,7.5,-7.5,40,63
2017,15,WAS,ARI,20,15,5,-4,4,44,35
2017,15,KC,SD,30,13,17,0,0,45.5,43
2017,15,DET,CHI,20,10,10,-6.5,6.5,43.5,30
2017,15,IND,DEN,13,25,-12,1.5,-1.5,41,38
2017,14,MIA,NE,27,20,7,12,-12,48.5,47
2017,14,PIT,BAL,39,38,1,-6,6,43.5,77
2017,14,LARM,PHI,35,43,-8,-1,1,51,78
2017,14,NYG,DAL,10,30,-20,6,-6,41,40
2017,14,ARI,TEN,12,7,5,3,-3,44.5,19
2017,14,DEN,NYJ,23,0,23,1,-1,40.5,23
2017,14,SD,WAS,30,13,17,-6.5,6.5,46,43
2017,14,BUF,IND,13,7,6,-3.5,3.5,39.5,20
2017,14,CAR,MIN,31,24,7,2,-2,42,55
2017,14,CIN,CHI,7,33,-26,-6,6,37,40
2017,14,CLE,GB,21,27,-6,4,-4,41,48
2017,14,HOU,SF,16,26,-10,-1.5,1.5,42.5,42
2017,14,JAX,SEA,30,24,6,-3,3,39,54
2017,14,KC,OAK,26,15,11,-4,4,47.5,41
2017,14,TB,DET,21,24,-3,2,-2,43,45
2017,14,ATL,NO,20,17,3,-1.5,1.5,54.5,37
2017,13,CIN,PIT,20,23,-3,6,-6,43.5,43
2017,13,SEA,PHI,24,10,14,3.5,-3.5,48,34
2017,13,ARI,LARM,16,32,-16,6.5,-6.5,45.5,48
2017,13,OAK,NYG,24,17,7,-7.5,7.5,40.5,41
2017,13,SD,CLE,19,10,9,-13,13,42.5,29
2017,13,ATL,MIN,9,14,-5,-3,3,47,23
2017,13,BAL,DET,44,20,24,-3,3,40,64
2017,13,BUF,NE,3,23,-20,7.5,-7.5,49.5,26
2017,13,CHI,SF,14,15,-1,-4,4,39.5,29
2017,13,GB,TB,26,20,6,1.5,-1.5,44,46
2017,13,JAX,IND,30,10,20,-8.5,8.5,40.5,40
2017,13,MIA,DEN,35,9,26,1,-1,38,44
2017,13,NO,CAR,31,21,10,-4,4,48,52
2017,13,NYJ,KC,38,31,7,4,-4,43.5,69
2017,13,TEN,HOU,24,13,11,-7.5,7.5,42,37
2017,13,DAL,WAS,38,14,24,-1.5,1.5,44.5,52
2017,12,BAL,HOU,23,16,7,-7.5,7.5,38,39
2017,12,PIT,GB,31,28,3,-13.5,13.5,41.5,59
2017,12,ARI,JAX,27,24,3,4,-4,38,51
2017,12,OAK,DEN,21,14,7,-5,5,43,35
2017,12,LARM,NO,26,20,6,-2.5,2.5,54,46
2017,12,SF,SEA,13,24,-11,7,-7,42,37
2017,12,ATL,TB,34,20,14,-10,10,49,54
2017,12,CIN,CLE,30,16,14,-8,8,38,46
2017,12,IND,TEN,16,20,-4,4.5,-4.5,44,36
2017,12,KC,BUF,10,16,-6,-9.5,9.5,45,26
2017,12,NE,MIA,35,17,18,-17,17,47.5,52
2017,12,NYJ,CAR,27,35,-8,4.5,-4.5,39.5,62
