year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2015,16,NO,JAC,38,27,11,1,1,-3.5,3.5,51.5,65
2015,16,TEN,JAC,42,39,3,1,1,-2.5,2.5,43,81
2015,16,NYJ,NE,26,20,6,1,1,3,-3,46,46
2015,16,MIN,NYG,49,17,32,1,1,-6.5,6.5,46,66
2015,16,BAL,PIT,20,17,3,1,1,10.5,-10.5,47.5,37
2015,16,OAK,SD,23,20,3,1,0,-4.5,4.5,46.5,43
2015,16,DET,SF,32,17,15,1,1,-8,8,43,49
2015,16,PHI,WAS,24,38,-14,0,0,-3.5,3.5,48,62
2015,17,CIN,BAL,24,16,8,1,1,-7.5,7.5,43,40
2015,17,CHI,DET,20,24,-4,0,0,-1.5,1.5,45,44
2015,17,GB,MIN,13,20,-7,0,0,-3,3,47.5,33
2015,17,MIA,NE,20,10,10,1,1,10.5,-10.5,47,30
2015,17,ATL,NO,17,20,-3,0,0,-4,4,53,37
2015,17,BUF,NYJ,22,17,5,1,1,1.5,-1.5,43,39
2015,17,KC,OAK,23,17,6,1,0,-7,7,44,40
2015,17,NYG,PHI,30,35,-5,0,0,-3.5,3.5,51.5,65
2015,17,CLE,PIT,12,28,-16,0,0,10,-10,47,40
2015,17,DEN,SD,27,20,7,1,0,-7.5,7.5,41,47
2015,17,ARI,SEA,6,36,-30,0,0,-3.5,3.5,47.5,42
2015,17,CAR,TB,38,10,28,1,1,-10.5,10.5,47,48
2015,17,IND,TEN,30,24,6,1,1,-3.5,3.5,39.5,54
2015,17,DAL,WAS,23,34,-11,0,0,-3.5,3.5,39.5,57
2016,1,BAL,BUF,13,7,6,1,1,-3,3,44.5,20
2016,1,DEN,CAR,21,20,1,1,1,3,-3,42,41
2016,1,HOU,CHI,23,14,9,1,1,-5.5,5.5,44,37
2016,1,NYJ,CIN,22,23,-1,0,1,2,-2,41.5,45
2016,1,PHI,CLE,29,10,19,1,1,-5.5,5.5,43,39
2016,1,IND,DET,35,39,-4,0,0,-3.5,3.5,51.5,74
2016,1,JAC,GB,23,27,-4,0,0,4,-4,48,50
2016,1,SF,LARM,28,0,28,1,1,2.5,-2.5,44,28
2016,1,SEA,MIA,12,10,2,1,0,-10.5,10.5,44,22
2016,1,TEN,MIN,16,25,-9,0,0,0,0,41,41
2016,1,ARI,NE,21,23,-2,0,0,-5.5,5.5,47.5,44
2016,1,DAL,NYG,19,20,-1,0,0,0,0,46.5,39
2016,1,NO,OAK,34,35,-1,0,0,-1,1,51,69
