,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,Predicted,Error,HomeLine
734,2016,3,TEN,OAK,10,17,-7,-11.550557947350743,-4.550557947350743,0.0
737,2016,14,KC,OAK,21,13,8,8.506584786290887,0.5065847862908868,-3.0
738,2016,15,SD,OAK,16,19,-3,-0.934984947206051,2.065015052793949,3.0
748,2018,2,DEN,OAK,20,19,1,-10.214402786238553,-11.214402786238553,-6.0
755,2018,17,KC,OAK,35,3,32,24.70974856014406,-7.29025143985594,-13.5
757,2019,4,IND,OAK,24,31,-7,-7.985837546655236,-0.9858375466552358,-6.5
761,2015,7,CAR,PHI,27,16,11,-0.274543917836223,-11.274543917836223,-3.5
770,2016,9,NYG,PHI,28,23,5,-1.3194901039878701,-6.31949010398787,-3.0
771,2016,11,SEA,PHI,26,15,11,14.455600993483056,3.4556009934830563,-6.0
775,2017,2,KC,PHI,27,20,7,13.193129301231107,6.193129301231107,-4.5
776,2017,4,SD,PHI,24,26,-2,-2.1714270618673295,-0.17142706186732948,-1.0
780,2017,14,LARM,PHI,35,43,-8,10.822352747881155,18.822352747881155,-1.0
781,2017,15,NYG,PHI,29,34,-5,-5.798805997696503,-0.798805997696503,7.5
783,2018,4,TEN,PHI,26,23,3,0.0011572179689807172,-2.9988427820310193,3.0
785,2018,11,NO,PHI,48,7,41,28.80800928717937,-12.19199071282063,-9.0
787,2018,15,LARM,PHI,23,30,-7,-0.4571113175850372,6.542888682414963,-9.5
794,2015,14,CIN,PIT,20,33,-13,-5.712318451443015,7.287681548556985,-3.0
795,2015,16,BAL,PIT,20,17,3,0.48137214378073656,-2.5186278562192634,10.5
797,2016,1,WAS,PIT,16,38,-22,-11.036970074689702,10.963029925310298,3.0
802,2016,12,IND,PIT,7,28,-21,-26.853775579191996,-5.853775579191996,2.5
803,2016,14,BUF,PIT,20,27,-7,3.1255110755294,10.125511075529399,2.0
805,2017,1,CLE,PIT,18,21,-3,-12.430303272658008,-9.430303272658008,9.0
806,2017,3,CHI,PIT,23,17,6,-11.324698635187097,-17.324698635187097,7.5
809,2017,8,DET,PIT,15,20,-5,-1.7447595259501707,3.2552404740498293,3.0
812,2017,16,HOU,PIT,6,34,-28,-36.7079286532487,-8.7079286532487,10.0
813,2018,1,CLE,PIT,21,21,0,-8.959241202127817,-8.959241202127817,5.5
817,2018,12,DEN,PIT,24,17,7,10.957799763076423,3.957799763076423,3.5
818,2018,14,OAK,PIT,24,21,3,0.4792335888166681,-2.520766411183332,11.5
819,2018,16,NO,PIT,31,28,3,6.996402308623096,3.9964023086230958,-5.5
821,2019,3,SF,PIT,24,20,4,8.880425092929116,4.880425092929116,-7.0
823,2015,3,MIN,SD,31,14,17,8.145607013986378,-8.854392986013622,-3.0
830,2016,3,IND,SD,26,22,4,4.578051738555865,0.5780517385558648,-2.5
833,2016,8,DEN,SD,27,19,8,4.260113503929167,-3.7398864960708327,-5.5
841,2017,12,DAL,SD,6,28,-22,-10.439764417432489,11.560235582567511,-2.5
842,2017,15,KC,SD,30,13,17,12.275254141739552,-4.724745858260448,0.0
843,2017,16,NYJ,SD,7,14,-7,-11.020243740456287,-4.020243740456287,7.5
851,2018,17,DEN,SD,9,23,-14,0.37155860601810486,14.371558606018105,6.5
856,2015,7,SF,SEA,3,20,-17,-13.126979940154175,3.8730200598458246,4.5
857,2015,8,DAL,SEA,12,13,-1,-2.922938320877944,-1.922938320877944,5.5
858,2015,13,MIN,SEA,7,38,-31,-29.14899582486357,1.8510041751364312,1.0
861,2016,2,LARM,SEA,9,3,6,5.613933680036225,-0.38606631996377505,7.0
865,2016,10,NE,SEA,24,31,-7,-1.9398304814682847,5.0601695185317155,-7.5
867,2016,14,GB,SEA,38,10,28,23.640438576820138,-4.359561423179862,2.5
876,2018,1,DEN,SEA,27,24,3,10.724935298546491,7.724935298546491,-2.5
